,FT,OT1/OT2,Q,ETD,TSQA,TSQV
hrs,total,total,total,total,total,total
1,198.39,140.14,145.11,319.54,73.37,134.42
2,396.78,280.28,290.21,639.08,146.73,268.84
3,595.17,420.42,435.32,958.63,220.10,403.26
4,694.00,490.00,508.00,1118.00,257.00,470.00
5,892.39,630.14,653.11,1437.54,330.37,604.42
6,1090.78,770.28,798.21,1757.08,403.73,738.84
7,1289.17,910.42,943.00,2076.63,477.00,873.26
8,1290.00,911.00,943.00,2077.00,477.00,874.00
9,1488.39,1051.14,1088.11,2396.54,550.37,1008.42
10,1686.00,1191.00,1233.00,2716.00,623.73,1142.84
11,1686.00,1191.00,1233.00,2716.00,624.00,1143.00
12,1686.00,1191.00,1233.00,2716.00,624.00,1143.00
13,1686.00,1191.00,1233.00,2716.00,624.00,1143.00
14,1686.00,1191.00,1233.00,2716.00,624.00,1143.00
15,1686.00,1191.00,1233.00,2716.00,624.00,1143.00
16,1686.00,1191.00,1233.00,2716.00,624.00,1143.00
17,1884.39,1331.14,1378.11,3035.54,697.37,1277.42
18,2082.78,1471.28,1523.21,3355.08,770.73,1411.84
19,2281.17,1611.42,1668.32,3674.63,844.10,1546.26
20,2380.00,1681.00,1741.00,3834.00,881.00,1613.00
21,2578.39,1821.14,1886.11,4153.54,954.37,1747.42
22,2776.78,1961.28,2031.21,4473.08,1027.73,1881.84
23,2975.17,2101.42,2176.32,4792.63,1100.00,2016.00
24,2976.00,2102.00,2177.00,4793.00,1100.00,2016.00
