,FT,OT1/OT2,LTQ,ETD,TSQA,TSQV
hrs,total,total,total,total,total,total
1,198,140,120,320,73,134
2,397,280,239,639,147,269
3,595,420,359,959,220,403
4,694,490,419,1118,257,470
5,892,630,539,1438,330,604
6,1091,770,658,1757,404,739
7,1289,910,778,2077,477,873
8,1289,911,778,2077,477,874
9,1487,1051,898,2397,550,1008
10,1686,1191,1017,2716,624,1142
11,1686,1191,1017,2716,624,1142
12,1686,1191,1017,2716,624,1142
13,1686,1191,1017,2716,624,1142
14,1686,1191,1017,2716,624,1142
15,1686,1191,1017,2716,624,1142
16,1686,1191,1017,2716,624,1142
17,1884,1331,1137,3036,697,1276
18,2083,1471,1256,3355,771,1411
19,2281,1611,1376,3675,844,1545
20,2480,1752,1496,3994,917,1680
21,2678,1892,1615,4314,991,1814
22,2876,2032,1735,4633,1064,1948
23,2976,2102,1795,4793,1100,2016
24,2976,2102,1795,4793,1100,2016
