,FT,OT1/OT2,Q,ETD,TSQA,TSQV
hrs,total,total,total,total,total,total
1,99.20,70.07,72.55,159.77,36.68,67.21
2,198.39,140.14,145.11,319.54,73.37,134.42
3,297.59,210.21,217.66,479.31,110.05,201.63
4,347.00,245.00,254.00,559.00,128.00,235.00
5,446.20,315.07,326.55,718.77,164.68,302.21
6,545.39,385.14,399.11,878.54,201.37,369.42
7,644.59,455.00,471.66,1038.31,238.00,436.63
8,645.00,455.00,472.00,1039.00,238.00,437.00
9,744.20,525.07,544.55,1198.77,274.68,504.21
10,843.00,595.14,617.00,1358.00,311.37,571.00
11,843.00,596.00,617.00,1358.00,312.00,571.00
12,843.00,596.00,617.00,1358.00,312.00,571.00
13,843.00,596.00,617.00,1358.00,312.00,571.00
14,843.00,596.00,617.00,1358.00,312.00,571.00
15,843.00,596.00,617.00,1358.00,312.00,571.00
16,843.00,596.00,617.00,1358.00,312.00,571.00
17,942.20,666.07,689.55,1517.77,348.68,638.21
18,1041.39,736.14,762.11,1677.54,385.37,705.42
19,1140.59,806.21,834.66,1837.31,422.05,772.63
20,1190.00,841.00,871.00,1917.00,440.00,806.00
21,1289.20,911.07,943.55,2076.77,476.68,873.21
22,1388.39,981.14,1016.11,2236.54,513.37,940.42
23,1487.59,1051.00,1088.00,2396.31,550.00,1007.63
24,1488.00,1051.00,1088.00,2397.00,550.00,1008.00
