,FT,OT1/OT2,LTQ,ETD,TSQA,TSQV
hrs,total,total,total,total,total,total
1,99,70,60,160,37,67
2,198,140,120,320,73,134
3,298,210,179,479,110,202
4,347,245,209,559,128,235
5,446,315,269,719,165,302
6,545,385,329,879,201,369
7,645,455,388,1038,238,437
8,645,455,389,1038,238,437
9,744,525,449,1198,275,504
10,843,595,508,1358,311,571
11,843,596,508,1358,312,571
12,843,596,508,1358,312,571
13,843,596,508,1358,312,571
14,843,596,508,1358,312,571
15,843,596,508,1358,312,571
16,843,596,508,1358,312,571
17,942,666,568,1518,349,638
18,1041,736,628,1678,385,705
19,1141,806,687,1837,422,773
20,1240,876,747,1997,459,840
21,1339,946,807,2157,495,907
22,1438,1016,867,2317,532,974
23,1488,1051,897,2396,550,1008
24,1488,1051,897,2396,550,1008
