,FT,FT,OT1/OT2,OT1/OT2,LTQ,LTQ,ETD,ETD,TSQA,TSQA,TSQV,TSQV
hrs,hrly rate,total,hrly rate,total,hrly rate,total,hrly rate,total,hrly rate,total,hrly rate,total
1,20,20,20,20,15,15,17,17,7,7,12,12
2,20,40,20,40,15,30,17,34,7,14,12,24
3,20,60,20,60,15,45,17,51,7,21,12,36
4,17.5,70,17.5,70,12.5,50,15,60,6.25,25,10,40
5,18,90,18,90,13,65,15.4,77,6.4,32,10.4,52
6,18.33333333,110,18.33333333,110,13.33333333,80,15.66666667,94,6.5,39,10,60
7,17.14285714,120,17.14285714,120,11.42857143,80,14.28571429,100,6.428571429,45,8.571428571,60
8,15,120,15,120,10,80,12.5,100,5.625,45,7.5,60
9,15.55555556,140,15.55555556,140,10.55555556,95,13,117,5.777777778,52,8,72
10,16,160,16,160,11,110,13.4,134,5.9,59,8.4,84
11,16.36363636,180,16.36363636,180,10.90909091,120,13.63636364,150,6,66,8.181818182,90
12,15,180,15,180,10,120,12.5,150,5.833333333,70,7.5,90
13,13.84615385,180,13.84615385,180,9.230769231,120,11.53846154,150,5.384615385,70,6.923076923,90
14,12.85714286,180,12.85714286,180,8.571428571,120,10.71428571,150,5,70,6.428571429,90
15,12,180,12,180,8,120,10,150,4.666666667,70,6,90
16,11.25,180,11.25,180,7.5,120,9.375,150,4.375,70,5.625,90
17,11.76470588,200,11.76470588,200,7.941176471,135,9.823529412,167,4.529411765,77,6,102
18,12.22222222,220,12.22222222,220,8.333333333,150,10.22222222,184,4.666666667,84,6.333333333,114
19,12.63157895,240,12.63157895,240,8.684210526,165,10.57894737,201,4.789473684,91,6.631578947,126
20,13,260,13,260,9,180,10.9,218,4.9,98,6.75,135
21,12.85714286,270,12.85714286,270,8.571428571,180,10.71428571,225,5,105,6.428571429,135
22,12.27272727,270,12.27272727,270,8.181818182,180,10.22727273,225,4.772727273,105,6.136363636,135
23,11.73913043,270,11.73913043,270,7.826086957,180,9.782608696,225,4.565217391,105,5.869565217,135
24,11.25,270,11.25,270,7.5,180,9.375,225,4.375,105,5.625,135
