,FT,OT1/OT2,LTQ,ETD,TSQA,TSQV
hrs,total,total,total,total,total,total
1,20,20,15,17,7,12
2,40,40,30,34,14,24
3,60,60,45,51,21,36
4,70,70,50,60,25,40
5,90,90,65,77,32,52
6,110,110,80,94,39,60
7,120,120,80,100,45,60
8,120,120,80,100,45,60
9,140,140,95,117,52,72
10,160,160,110,134,59,84
11,180,180,120,150,66,90
12,180,180,120,150,70,90
13,180,180,120,150,70,90
14,180,180,120,150,70,90
15,180,180,120,150,70,90
16,180,180,120,150,70,90
17,200,200,135,167,77,102
18,220,220,150,184,84,114
19,240,240,165,201,91,126
20,260,260,180,218,98,135
21,270,270,180,225,105,135
22,270,270,180,225,105,135
23,270,270,180,225,105,135
24,270,270,180,225,105,135
